staged_id,evidence_type,market,query_or_item,metric_name,metric_value,metric_unit,observation,source_name,source_url,captured_at_utc,rights_status,used_by,notes
"PP-E001","manufacturer_spec","Global","Anker 332 USB-C Hub A8355","manufacturer_specification","verified","status","Anker identifies model A8355 as a 5-in-1 hub with HDMI up to 4K@30Hz, two USB-A 5Gbps ports, one USB-C 5Gbps data port, and 100W PD input with up to 85W output to the laptop.","Anker","https://www.anker.com/products/a8355","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C01","Charger is not included; source copy lists compatible USB-C laptop families. No source imagery is cleared for reuse."
"PP-E002","retailer_offer","Egypt","Anker 332 USB-C Hub A8355H11","retailer_price_snapshot","1999","EGP","Noon exact-model listing showed EGP 1,999, only 5 left, noon-express fulfillment, and seller Dokkan Tech.","Noon Egypt","https://www.noon.com/egypt-en/anker-332-usb-c-hub-5-in-1-usb-c-connector-with-4k-hdmi-100w-power-charger-black-a8355h11/N70086896V/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C01","Unstable price, seller, fulfillment, and stock observation; recheck before publication."
"PP-E003","manufacturer_spec","Global","UGREEN Revodok 105 CM478 / 15495","manufacturer_specification","verified","status","UGREEN identifies Revodok 105 item 15495 as a 5-in-1 hub with HDMI 4K output, USB-C PD up to 100W, one USB 3.0 port, and two USB 2.0 ports.","UGREEN","https://www.ugreen.com/products/usa-15495","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C02","Manufacturer configuration controls where retailer title wording is ambiguous. No source imagery is cleared for reuse."
"PP-E004","retailer_offer","Egypt","UGREEN Revodok 105 CM478 / 15495","retailer_price_snapshot","952.85","EGP","Noon listing showed EGP 952.85, add-to-cart availability, 50+ recent sales, noon-express fulfillment, seller wusool, and a one-year warranty.","Noon Egypt","https://www.noon.com/egypt-en/usb-c-hub-with-100w-pd-charging-type-c-to-hdmi-4k-at-30hz-adapter-usb-hub-30-5gbps-data-transfer-ports-compatible-for-macbook-pro-air-m3-m2-m1-ipad-pro-m4-iphone-16-15-pro-pro-max-lenovo-dell-hp-space-grey/N53417515A/p/?o=e8554e7ba41c85fa","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C02","No explicit stock quantity was visible. Retailer title has ambiguous port-count wording; verify received model CM478 / 15495."
"PP-E005","manufacturer_spec","Mexico","Baseus UltraJoy 5-Port Hub BS-OH150","manufacturer_specification","verified","status","Baseus identifies BS-OH150 as an UltraJoy USB-C hub with HDMI up to 4K@30Hz, three USB 3.0 ports, USB-C PD up to 100W, and Windows, macOS, Linux, and Vista support.","Baseus Mexico","https://www.baseus.mx/products/adaptador-usb-c-ultrajoy-de-5-puertos-hub","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C03","Regional official brand page used for specification identity. No source imagery is cleared for reuse."
"PP-E006","retailer_offer","Egypt","Baseus UltraJoy B00052801811-00","retailer_price_snapshot","749","EGP","Noon exact-model listing showed EGP 749, only 5 left, seller QDS Egypt, and Marketplace fulfillment.","Noon Egypt","https://www.noon.com/egypt-en/baseus-ultrajoy-series-5-port-hub-docking-station-space-grey-type-c-to-hdmi4k-30hz-1-usb-3-0-3-pd-1-grey/N70045731V/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C03","Unstable price, seller, fulfillment, and stock observation; recheck before publication."
"PP-E007","manufacturer_spec","Türkiye","UGREEN Foldable Laptop Stand LP451 / 40289","manufacturer_specification","verified","status","UGREEN lists model 40289 for 8-17.3-inch laptops, five height levels, up to 5 kg load, foldability, and a hollow ventilation design.","UGREEN Türkiye","https://www.ugreen.com/tr-tr/products/tr-40289","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C04","Official regional brand page. No source imagery is cleared for reuse."
"PP-E008","retailer_offer","Egypt","UGREEN Laptop Stand 40289","retailer_price_snapshot","945.60","EGP","Noon exact-model listing showed EGP 945.60, add-to-cart availability, noon-express fulfillment, and seller wusool; the latest render did not expose a numeric stock count.","Noon Egypt","https://www.noon.com/egypt-en/laptop-stand-aluminum-alloy-adjustable-eye-level-ergonomic-height-laptop-riser-holder-compatible-for-macbook-pro-2021-air-chromebook-and-more-storage-bag-included/N53340883A/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C04","Unstable price, seller, fulfillment, and availability observation; recheck before publication."
"PP-E009","manufacturer_spec","Pakistan","UGREEN Desktop Laptop Stand LP230 / 80348","manufacturer_specification","regional_page","status","UGREEN Pakistan identifies model 80348 as an aluminum desktop stand for laptops up to 17 inches with anti-slip contact points and an open airflow design.","UGREEN Pakistan","https://ugreen.com.pk/product/ugreen-80348-desktop-laptop-stand-silver/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C05","Regional distributor/brand page needs revalidation against a global UGREEN source before customer-facing specification copy."
"PP-E010","retailer_offer","Egypt","UGREEN Laptop Stand 80348","retailer_price_snapshot","499.95","EGP","Noon exact-model listing showed EGP 499.95, only 2 left, and noon-express fulfillment; seller name was not retained in the captured render.","Noon Egypt","https://www.noon.com/egypt-en/laptop-stand-adjustable-foldable-lightweight-laptop-desk-stand-for-with-cooling-vented-for-all-11-17-laptop-macbook-pro-2021-macbook-air-thinkpad-matebook-etc-silver/N41896502A/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C05","Unstable price, fulfillment, and stock observation; recheck seller and warranty before publication."
"PP-E011","manufacturer_spec","European Union","UGREEN Adjustable Vertical Laptop Stand 20471","manufacturer_specification","verified","status","UGREEN identifies model 20471 as an adjustable vertical stand with a 0.5-1-inch slot width, aluminum body, silicone contact surfaces, and selected-device compatibility extending to 17.3 inches.","UGREEN Europe","https://eu.ugreen.com/en-pl/products/ugreen-adjustable-vertical-laptop-stand","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C06","Official regional brand page. Verify laptop thickness rather than relying on screen diagonal alone."
"PP-E012","retailer_offer","Egypt","UGREEN Vertical Laptop Stand 20471","retailer_price_snapshot","2290","EGP","Noon exact-model listing showed EGP 2,290, only 2 left, and Marketplace fulfillment; retailer compatibility wording says under 15.6 inches.","Noon Egypt","https://www.noon.com/egypt-en/aluminum-vertical-laptop-and-double-desktop-stand-holder-with-adjustable-dock-space-saving-anti-slide-silicone-grips/N53423221A/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C06","Unstable price and stock observation. Retailer size wording conflicts with the manufacturer page; enforce a thickness/fit check."
"PP-E013","manufacturer_spec","Global","DeepCool U PAL DP-N214A5_UPAL","manufacturer_specification","verified","status","DeepCool identifies U PAL part DP-N214A5_UPAL with two 140 mm fans, 1000±10% RPM, 26.3 dB(A), 5V input, and 390 x 280 x 27.5 mm dimensions.","DeepCool","https://global.deepcool.com/products/Cooling/laptopcoolers/2021/11402.shtml","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C07","Official manufacturer specification page. No source imagery is cleared for reuse."
"PP-E014","retailer_offer","Egypt","DeepCool U PAL Notebook Cooler","retailer_price_snapshot","899","EGP","Noon exact-item listing showed EGP 899, only 4 left, noon-express fulfillment, and 15.6-inch compatibility wording; seller name was not retained in the captured evidence.","Noon Egypt","https://www.noon.com/egypt-en/u-pal-notebook-laptop-cooler-two-silent-140mm-fans-compatible-with-15-6-inch/Z77938BBCD23D61B47614Z/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C07","Unstable price, fulfillment, and stock observation; recheck seller and warranty before publication."
"PP-E015","manufacturer_spec","Global","Redragon WINDSEEKER GCP512","manufacturer_specification","verified","status","Redragon lists GCP512 for 15-17-inch laptops with a 5.9-inch fan, 1800-2400 RPM, 52-58 dB, 5V DC input, up to 2A, and four height settings.","Redragon","https://redragonshop.com/products/windseeker-gcp512-laptop-cooling-pad","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C08","Official manufacturer page; the stated 52-58 dB range is a material noise caution."
"PP-E016","retailer_offer","Egypt","Redragon WINDSEEKER GCP512","retailer_price_snapshot","2775","EGP","Noon exact-model listing showed EGP 2,775, only 5 left, seller PlanetGate, noon-express fulfillment, and no warranty.","Noon Egypt","https://www.noon.com/egypt-en/gcp512-laptop-cooling-pad-with-5-9-fan-rapid-cooling-for-15-17-inch-laptops-variable-speed-control-4-adjustable-heights-rgb-quiet-cooling-pad-with-phone-stand/ZCC2AD59209C077A88AC4Z/p/?o=zcc2ad59209c077a88ac4z-1","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C08","Unstable price, seller, fulfillment, stock, and warranty observation; recheck before publication."
"PP-E017","manufacturer_spec","Global","JOYROOM JR-ZS368 Magnetic Cable Organizer","manufacturer_specification","verified","status","JOYROOM identifies model JR-ZS368, includes a six-piece variant, and states applicability to cables below 7.5 mm diameter.","JOYROOM","https://www.joyroom.com/products/joyroom-jr-zs368-magnetic-cable-organizer-9pcs-b2c","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C09","Manufacturer page URL names the nine-piece variant but its variant selector/specification content includes six pieces. No imagery cleared for reuse."
"PP-E018","retailer_offer","Egypt","JOYROOM JR-ZS368 6 pcs","retailer_price_snapshot","950.81","EGP","Noon exact-model six-piece listing showed EGP 950.81, only 2 left, seller attention store, and noon-express fulfillment.","Noon Egypt","https://www.noon.com/egypt-en/joyroom-cable-organiser-jr-zs368-magnetic-black-6-pcs/ZDB64AB2F8DE78C016649Z/p/?o=zdb64ab2f8de78c016649z-1","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C09","Unstable price, seller, fulfillment, and stock observation. Price appears high for the category and must be rechecked before promotion."
"PP-E019","manufacturer_spec","United States","Logitech Signature M650 910-006253","manufacturer_specification","verified","status","Logitech lists Signature M650 with Bluetooth Low Energy and Logi Bolt connectivity, 200-4000 DPI sensor range, and a right-handed small-to-medium hand-size option.","Logitech","https://www.logitech.com/en-us/products/mice/m650-signature-wireless-mouse.html","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C10","Manufacturer specification controls over the retailer title's 400-DPI wording. Confirm graphite small/medium part number at checkout."
"PP-E020","retailer_offer","Egypt","Logitech Signature M650 910-006253","retailer_price_snapshot","1749","EGP","Noon exact-model listing showed EGP 1,749, add-to-cart availability, seller Dokkan Tech, and noon-express fulfillment; no explicit stock quantity was visible.","Noon Egypt","https://www.noon.com/egypt-en/signature-m650-wireless-mouse-for-small-to-medium-sized-hands-silent-clicks-5-buttons-bluetooth-multi-device-compatibility-400-dpi-nominal-value-10m-range-black/N53285882A/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C10","Unstable price, seller, fulfillment, and availability observation. Retailer DPI wording conflicts with manufacturer specification."
"PP-E021","manufacturer_spec","Saudi Arabia","Logitech Pebble Keys 2 K380s Arabic 920-011867","manufacturer_specification","verified","status","Logitech lists Arabic tonal graphite part 920-011867 with Bluetooth Low Energy, Easy-Switch for up to three devices, Logi Bolt compatibility with receiver not included, and support for major desktop and mobile operating systems.","Logitech Saudi Arabia","https://www.logitech.com/en-sa/products/keyboards/pebble-keys-2.html","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C11","Official regional manufacturer page. Battery-life claims should not be promoted without the manufacturer's usage-condition qualifier."
"PP-E022","retailer_offer","Egypt","Logitech Pebble Keys 2 K380s Arabic 920-011867","retailer_price_snapshot","2600","EGP","Noon exact-part listing showed EGP 2,600, available status, seller SMART LAND, Marketplace fulfillment, one-year warranty, and a non-returnable designation.","Noon Egypt","https://www.noon.com/egypt-en/pebble-keys-2-k380s-multi-device-bluetooth-wireless-keyboard-with-customisable-shortcuts-slim-and-portable-easy-switch-for-windows-macos-ipados-android-chrome-os-ara-layout-graphite/N70053866V/p/","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C11","Unstable price, seller, availability, fulfillment, warranty, and return-policy observation; recheck immediately before promotion."
"PP-E023","manufacturer_spec","United Arab Emirates","Logitech Lift Graphite Right-Handed 910-006473","manufacturer_specification","verified","status","Logitech lists graphite right-handed part 910-006473, a 57-degree vertical angle, sizing for small-to-medium hands, and Bluetooth Low Energy or Logi Bolt connectivity.","Logitech United Arab Emirates","https://www.logitech.com/en-ae/products/mice/lift-vertical-ergonomic-mouse.910-006475.html","2026-07-14T23:54:02Z","SOURCE_LINK_ONLY","PP-C12","The page URL uses another variant SKU but the page variant data lists graphite right-handed 910-006473; verify selected variant at checkout."
